senet:
Test set: Average loss: 2.2754, Accuracy: 0.2096
Test set: Average loss: 2.1967, Accuracy: 0.2978
Test set: Average loss: 2.1411, Accuracy: 0.3750
Test set: Average loss: 1.8083, Accuracy: 0.4191
Test set: Average loss: 1.4331, Accuracy: 0.5110
Test set: Average loss: 1.5720, Accuracy: 0.5000
Test set: Average loss: 1.3657, Accuracy: 0.5478
Test set: Average loss: 1.4008, Accuracy: 0.5331
Test set: Average loss: 1.3360, Accuracy: 0.5699
Test set: Average loss: 1.2460, Accuracy: 0.5699
Test set: Average loss: 1.2464, Accuracy: 0.6066
Test set: Average loss: 1.2518, Accuracy: 0.5846
Test set: Average loss: 1.1438, Accuracy: 0.6360
Test set: Average loss: 1.2183, Accuracy: 0.6250
Test set: Average loss: 1.1288, Accuracy: 0.6140
Test set: Average loss: 1.2327, Accuracy: 0.6140
Test set: Average loss: 1.0265, Accuracy: 0.7059
Test set: Average loss: 0.8969, Accuracy: 0.6985
Test set: Average loss: 1.0125, Accuracy: 0.6765
Test set: Average loss: 0.9258, Accuracy: 0.6912
Test set: Average loss: 0.9187, Accuracy: 0.7059
Test set: Average loss: 0.9398, Accuracy: 0.7059
Test set: Average loss: 0.9139, Accuracy: 0.6949
Test set: Average loss: 0.9759, Accuracy: 0.7132
Test set: Average loss: 0.8564, Accuracy: 0.7132
Test set: Average loss: 0.9365, Accuracy: 0.7132
Test set: Average loss: 0.7510, Accuracy: 0.7574
Test set: Average loss: 0.9215, Accuracy: 0.7169
Test set: Average loss: 0.9125, Accuracy: 0.6949
Test set: Average loss: 0.9126, Accuracy: 0.7316
Test set: Average loss: 0.8817, Accuracy: 0.7279
Test set: Average loss: 0.8955, Accuracy: 0.7647
Test set: Average loss: 0.8001, Accuracy: 0.7574
Test set: Average loss: 0.9285, Accuracy: 0.7574
Test set: Average loss: 0.9012, Accuracy: 0.7463
Test set: Average loss: 0.9021, Accuracy: 0.7316
Test set: Average loss: 0.9948, Accuracy: 0.7390
Test set: Average loss: 0.8508, Accuracy: 0.7721
Test set: Average loss: 0.8918, Accuracy: 0.7169
Test set: Average loss: 0.7344, Accuracy: 0.7721
Test set: Average loss: 0.9959, Accuracy: 0.7463
Test set: Average loss: 0.8869, Accuracy: 0.7684
Test set: Average loss: 0.8206, Accuracy: 0.7941
Test set: Average loss: 0.8136, Accuracy: 0.7500
Test set: Average loss: 0.9007, Accuracy: 0.7500
Test set: Average loss: 0.9646, Accuracy: 0.7500
Test set: Average loss: 0.9473, Accuracy: 0.7206
Test set: Average loss: 1.0255, Accuracy: 0.7463
Test set: Average loss: 1.0707, Accuracy: 0.7316
Test set: Average loss: 0.7582, Accuracy: 0.7904
Test set: Average loss: 0.8034, Accuracy: 0.7574
Test set: Average loss: 0.8294, Accuracy: 0.7353
Test set: Average loss: 1.1291, Accuracy: 0.7500
Test set: Average loss: 0.9913, Accuracy: 0.7647
Test set: Average loss: 0.8783, Accuracy: 0.7537
Test set: Average loss: 0.8880, Accuracy: 0.7941
Test set: Average loss: 0.9979, Accuracy: 0.7868
Test set: Average loss: 0.9245, Accuracy: 0.7757
Test set: Average loss: 0.8667, Accuracy: 0.7684
Test set: Average loss: 1.0785, Accuracy: 0.7316
Test set: Average loss: 0.9020, Accuracy: 0.7831
Test set: Average loss: 0.9546, Accuracy: 0.7610
Test set: Average loss: 0.8647, Accuracy: 0.8162
Test set: Average loss: 1.0089, Accuracy: 0.7426
Test set: Average loss: 1.0324, Accuracy: 0.7426
Test set: Average loss: 0.8812, Accuracy: 0.7537
Test set: Average loss: 0.9354, Accuracy: 0.7978
Test set: Average loss: 0.9713, Accuracy: 0.7610
Test set: Average loss: 0.9366, Accuracy: 0.7868
Test set: Average loss: 0.8260, Accuracy: 0.7978
Test set: Average loss: 0.8310, Accuracy: 0.7941
Test set: Average loss: 0.8595, Accuracy: 0.8088
Test set: Average loss: 1.0070, Accuracy: 0.7831
Test set: Average loss: 0.8907, Accuracy: 0.7831
Test set: Average loss: 0.9181, Accuracy: 0.7721
Test set: Average loss: 0.9722, Accuracy: 0.8199
